When required data will be repartitioned into - 6779 partitions
+------------+-----+
|partition_id|count|
|         621|   98|
|         623|   49|
|         624|   46|
|         626|   43|
|         628|   51|
|         629|   42|
|         631|  147|
|         633|  100|
|         636|  197|
|         637|   47|
|         638|  126|
|         639|   41|
|         643|   43|
|         646|   54|
|         647|   39|
|         649|   47|
|         652|  154|
|         655|   42|
|         657|   51|
|         658|   88|
|         659|  104|
|         660|   99|
|         661|   44|
|         662|  145|
|         663|   78|
|         664|   51|
|         665|   52|
|         667|   63|
|         668|   86|
|         669|   98|
|         670|  169|
|         671|   96|
|         673|  100|
|         674|  121|
|         676|   80|
|         680|   49|
|         681|  128|
|         682|   49|
|         684|   46|
|         687|   50|
|         689|   77|
|         690|   58|
|         693|   55|
|         696|   55|
|         698|  100|
|         699|  151|
|         701|   42|
|         702|   55|
|         703|   47|
|         706|   42|
|         707|  112|
|         710|   46|
|         711|   34|
|         713|  140|
|         714|  108|
|         717|   47|
|         718|   55|
|         720|   55|
|         722|   79|
|         724|   58|
|         725|   44|
|         726|  114|
|         728|  203|
|         729|   54|
|         730|  103|
|         731|   47|
|         732|  105|
|         733|   62|
|         734|   43|
|         735|   47|
|         736|   50|
|         740|  100|
|         741|   38|
|         742|   37|
|         745|   51|
|         746|   50|
|         749|  109|
|         750|   48|
|         752|   45|
|         753|   52|
|         754|  108|
|         756|   59|
|         759|   63|
|         760|   96|
|         761|   90|
|         763|   47|
|         765|   46|
|         766|   52|
|         767|   54|
|         768|   48|
|         770|   49|
|         776|   60|
|         778|   44|
|         779|   97|
|         780|   52|
|         782|   96|
|         783|   52|
|         784|  102|
|         786|   44|
|         788|   53|
|         789|   53|
|         790|  145|
|         791|   90|
|         793|   39|
|         795|   62|
|         797|   88|
|         798|  103|
|         799|   55|
|         800|   94|
|         801|  156|
|         802|  100|
|         803|   91|
|         804|   53|
|         805|   39|
|         806|   48|
|         808|  138|
|         813|   53|
|         815|   35|
|         816|   55|
|         817|   89|
|         818|   59|
|         820|   43|
|         822|   51|
|         824|   42|
|         825|   53|
|         827|   52|
|         829|   40|
|         832|   42|
|         833|  135|
|         834|   36|
|         835|   38|
|         836|   99|
|         838|   59|
|         839|  115|
|         841|   57|
|         842|   56|
|         844|   46|
|         846|   51|
|         849|   46|
|         852|   47|
|         853|  109|
|         855|   94|
|         856|   49|
|         857|   47|
